exonDensity,gc,position
2.76427515314,49.9,8
nan,57.4,16
nan,38.2,8
2.28244956258,49.3,9
2.2954984544,49.7,10
3.73700241571,46.4,10
nan,52.7,9
nan,46.5,9
nan,46.6,10
nan,51.4,7
nan,50.5,8
4.53814796452,47.5,9
2.66812059012,47.8,8
2.96784899398,47.6,9
2.93481434465,44.4,9
1.0,47.4,9
6.0902268915,51.1,13
2.51918549906,52.0,11
2.66571269576,54.3,9
nan,47.4,10
nan,47.3,10
2.58796992481,48.7,9
5.7228231266,58.8,11
3.16883003746,44.5,11
nan,48.1,4
2.66974324551,49.3,9
nan,51.6,9
1.38679800059,32.9,29
3.02633058471,46.4,8
1.05809563758,51.8,7
nan,51.8,7
nan,50.9,9
3.15661538462,50.5,8
nan,51.7,9
3.21927488734,51.2,7
3.06534371231,49.2,9
3.27816566169,48.3,9
3.10169992609,49.1,8
2.92485430938,49.8,10
2.93001210165,49.5,8
3.1097167756,49.4,9
3.38060453401,50.3,8
3.57451940129,50.4,8
3.23172378862,49.9,8
3.43756661474,49.5,9
3.25308988764,50.4,8
3.3451381072,49.1,9
3.22501120574,44.2,9
2.97664172901,48.3,8
3.36712031394,49.5,9
3.1695556733,49.1,9
3.1483113069,50.0,7
3.18239477225,52.9,7
3.18974192501,49.2,8
3.16926217115,50.1,7
3.13100787655,48.0,7
2.97597254005,48.3,8
5.29995456095,48.5,11
2.65663395729,52.4,9
4.7992851251,58.6,9
2.54106097791,49.8,8
2.59195402299,51.1,8
2.48280802292,50.0,8
2.51124063281,50.8,8
nan,56.8,10
1.26503201624,48.1,6
4.25488585011,34.5,39
nan,58.0,16
nan,39.3,20
2.14477313802,54.8,9
2.73224623697,51.5,9
nan,44.6,7
2.76646058733,44.0,7
4.88070631312,50.1,10
5.58235507685,52.4,15
2.63616465009,43.1,8
nan,54.7,8
2.67272727273,48.9,7
3.04335412457,45.8,7
nan,57.0,10
nan,56.4,10
1.33560825798,34.7,19
1.20313506549,45.4,8
1.24105173876,45.3,4
nan,42.9,8
2.49802650127,55.9,22
2.92622728506,37.5,8
nan,34.7,9
nan,36.9,8
nan,50.0,13
nan,56.0,21
5.94948326392,47.5,11
2.31655574043,48.5,8
nan,55.6,9
3.06046040982,47.5,8
nan,49.2,11
2.83531635717,43.5,10
nan,50.7,15
2.17597508317,48.8,9
3.03160944771,44.4,8
5.6727032386,54.7,10
2.54849498328,50.8,8
2.66981132075,50.7,8
2.65724355129,50.0,9
3.25973763875,46.0,10
2.60415464512,50.9,8
2.6450403931,50.5,8
2.63134693878,49.8,8
2.58639677369,50.1,9
1.51476793249,45.2,30
nan,55.0,9
nan,52.6,8
nan,53.0,9
2.74587706147,49.1,9
2.44478110314,55.1,9
nan,50.2,9
nan,53.2,9
nan,53.8,9
2.77677480019,27.7,10
2.98230232181,51.9,9
2.65182690196,51.7,10
6.11467189884,52.4,10
nan,26.6,10
nan,51.7,11
5.40673920674,51.6,10
2.59547943609,50.6,8
5.04858418806,44.1,11
nan,53.1,10
2.99160708735,51.4,9
4.35481550744,41.1,23
nan,48.2,9
6.47042471042,48.5,9
6.24806415929,52.9,14
2.71340139883,49.3,8
1.34564425306,44.5,11
5.16915351506,51.9,11
4.83304042179,52.2,9
5.80154110993,54.9,10
2.88552761121,45.0,9
1.07445790816,36.3,9
nan,52.2,7
1.35982966643,39.9,19
2.92822731295,48.5,9
5.08738296924,44.4,11
5.84182262002,55.6,11
2.45546232048,52.8,8
5.356721846,56.9,6
2.16710360229,52.7,9
2.30023847377,53.1,8
2.70500424088,47.9,7
nan,53.4,9
1.00751503006,47.3,18
1.01949106659,43.4,16
1.00763775232,41.5,23
nan,52.2,8
nan,50.7,14
2.90783055199,46.6,8
2.79203005501,43.5,23
6.48941913194,51.2,10
4.6346749226,51.7,11
5.72207399502,50.2,10
6.06176652254,40.8,10
5.56283759453,55.7,10
2.81609367963,48.3,9
2.70369324599,48.4,8
nan,48.4,9
nan,48.7,8
5.82261812548,55.7,10
2.96843231675,45.8,7
2.82626608354,51.8,8
2.78714097497,52.4,9
3.46331153821,27.7,16
3.14308592118,48.3,8
6.14443694074,53.2,10
2.85454764196,53.4,7
nan,45.5,10
3.1175049418,51.2,9
5.50876710823,49.5,10
2.99294406381,51.6,8
5.26055220565,45.1,12
5.75362934035,49.0,3
1.20262700406,47.9,5
1.20333333333,26.7,19
5.24177610194,48.4,10
nan,46.3,39
4.57059509918,52.2,9
3.30764241704,46.2,9
nan,43.4,7
5.83534287867,50.8,10
nan,47.9,12
2.83572404372,45.8,9
2.90331266319,40.5,8
2.8560476307,40.1,8
1.21615320566,35.0,10
5.28742113785,51.0,10
2.81074157303,51.1,9
5.53255374871,49.8,11
nan,59.4,25
2.70677391478,47.6,8
nan,36.3,17
4.49416120763,46.9,10
5.71990707129,51.5,10
nan,56.4,10
