shortName,fileName,URL
Pneji1,ERR135872.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135872/ERR135872.sra
Pneji1,ERR135873.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135873/ERR135873.sra
Pneji1,ERR135874.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135874/ERR135874.sra
Pneji1,ERR135875.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135875/ERR135875.sra
Pneji1,ERR135876.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135876/ERR135876.sra
Pneji1,ERR135877.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135877/ERR135877.sra
Pneji1,ERR135878.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135878/ERR135878.sra
Pneji1,ERR135879.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135879/ERR135879.sra
Pneji1,ERR135880.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135880/ERR135880.sra
Pneji1,ERR135881.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR135/ERR135881/ERR135881.sra
Spofi1,SRR1797186.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR179/SRR1797186/SRR1797186.sra
Gloin1,SRR1027885.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR102/SRR1027885/SRR1027885.sra
Cenge3,SRR398303.sra,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR398/SRR398303/SRR398303.sra
