shortName,longName,fastaName,gff3Name,gc,numGene,numExon,numIntron,intronDensity,rnaSeqCount
Aaoar1,Aaosphaeria arxii CBS 175.79 v1.0,Aaoar1_AssemblyScaffolds.fasta.gz,Aaoar1.filtered_proteins.FilteredModels1.gff3.gz,49.9,14203,39261,25058,1.76427515314,1
Aciri1_iso,Acidomyces richmondensis BFW,Aciri1_iso_AssemblyScaffolds.fasta.gz,Aciri1_iso.filtered_proteins.FilteredModels1.gff3.gz,49.3,11202,25568,14355,1.28146759507,12
Aciri1_meta,Acidomyces richmondensis BFW,Aciri1_meta_AssemblyScaffolds.fasta.gz,Aciri1_meta.filtered_proteins.FilteredModels1.gff3.gz,49.7,10352,23763,13408,1.29520865533,12
Acral2,Acremonium alcalophilum v2.0,Acral2_AssemblyScaffolds.fasta.gz,Acral2.filtered_proteins.FilteredModels3_1.gff3.gz,46.4,5405,20231,14826,2.74301572618,3
Agabi_varbisH97_2,Agaricus bisporus var bisporus (H97) v2.0,Abisporus_varbisporusH97.v2_AssembledScaffolds.fasta.gz,Agabi_varbisH97_2.filtered_proteins.FilteredModels3.gff3.gz,46.5,10438,63113,52674,5.04636903621,7
Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,Abisporus_varburnettii.v2.unmasked.fasta.gz,Agabi_varbur_1.filtered_proteins.FilteredModels1.gff3.gz,46.6,11289,64626,53332,4.72424484011,7
Altbr1,Alternaria brassicicola,Alternaria_brassicicola_unmasked_assembly.fasta.gz,Altbr1.filtered_proteins.External_gene_models.gff3.gz,50.5,10688,28593,17905,1.67524326347,28
Amamu1,Amanita muscaria Koide v1.0,Amamu1_AssemblyScaffolds.fasta.gz,Amamu1.filtered_proteins.FilteredModels1.gff3.gz,47.5,18153,82381,64190,3.53605464661,4
Amath1,Amanita thiersii Skay4041 v1.0,Amath1_AssemblyScaffolds.fasta.gz,Amath1.filtered_proteins.FilteredModels1.gff3.gz,45.3,10354,62374,52020,5.02414525787,1
Amore1,Amorphotheca resinae v1.0,Amore1_AssemblyScaffolds.fasta.gz,Amore1.filtered_proteins.FilteredModels1.gff3.gz,47.6,9642,28616,18974,1.96784899398,1
Antav1,Anthostoma avocetta NRRL 3190 v1.0,Antav1_AssemblyScaffolds.fasta.gz,Antav1.filtered_proteins.FilteredModels1.gff3.gz,44.4,1488,4531,3043,2.04502688172,1
Apimo1,Apiospora montagnei NRRL 25634 v1.0,Apimo1_AssemblyScaffolds.fasta.gz,Apimo1.filtered_proteins.FilteredModels1.gff3.gz,52.0,16992,42806,25806,1.51871468927,1
Artbe1,Arthroderma benhamiae CBS 112371,Artbe1_AssemblyScaffolds.fasta.gz,Artbe1.filtered_proteins.ExternalModels.gff3.gz,48.7,7980,20652,12672,1.58796992481,4
Artel1,Artolenzites elegans CIRM1663 v1.0,Artel1_AssemblyScaffolds.fasta.gz,Artel1.filtered_proteins.FilteredModels1.gff3.gz,58.8,12851,73544,60693,4.7228231266,15
Artol1,Arthrobotrys oligospora ATCC 24927,Artol1_AssemblyScaffolds.fasta.gz,Artol1.filtered_proteins.ExternalModels.gff3.gz,44.5,11479,36375,24896,2.16883003746,5
Aspca3,Aspergillus carbonarius ITEM 5010 v3,Aspca3_scaffolds.fasta.gz,Aspca3.filtered_proteins.FilteredModels6.gff3.gz,51.7,11624,40277,28653,2.46498623538,2
Aspcam1,Aspergillus campestris IBT 28561 v1.0,Aspcam1_AssemblyScaffolds.fasta.gz,Aspcam1.filtered_proteins.FilteredModels1.gff3.gz,51.2,5712,18519,12807,2.24212184874,1
Aspfl1,Aspergillus flavus NRRL3357,Aspfl1_AssemblyScaffolds.fasta.gz,Aspfl1.filtered_proteins.ExternalModels.gff3.gz,48.3,2121,6927,4806,2.26591230552,56
