shortName,shortName,longName,fastaName,gffName,gff3Name,gc,numGeneGff3,numExonGff3,exonDensityGff3,numIntronGff3,intronDensityGff3,numGeneGff,numExonGff,exonDensityGff,numIntronGff,intronDensityGff,rnaSeqCount,ES
Aaoar1,Aaoar1,Aaosphaeria arxii CBS 175.79 v1.0,Aaoar1_AssemblyScaffolds.fasta.gz,Aaoar1_GeneCatalog_genes_20140429.gff.gz,Aaoar1.filtered_proteins.FilteredModels1.gff3.gz,49.9,14203.0,39261.0,2.76427515314,25058.0,1.76,14203.0,39261.0,2.76427515314,25058.0,1.76,1,pass
Acain1,Acain1,Acaromyces ingoldii MCA 4198 v1.0,Acain1_AssemblyScaffolds.fasta.gz,Acain1_GeneCatalog_genes_20150309.gff.gz,,57.4,,,,,,8025.0,24322.0,3.0307788162,16297.0,2.03,0,pass
Acema1,Acema1,Acephala macrosclerotiorum EW76-UTF0540 v1.0,Acema1_AssemblyScaffolds.fasta.gz,Acema1_GeneCatalog_genes_20150224.gff.gz,,38.2,,,,,,21024.0,63616.0,3.02587519026,42592.0,2.03,0,pass
Aciri1_iso,Aciri1_iso,Acidomyces richmondensis BFW,Aciri1_iso_AssemblyScaffolds.fasta.gz,Aciri1_iso_GeneCatalog_genes_20111207.gff.gz,Aciri1_iso.filtered_proteins.FilteredModels1.gff3.gz,49.3,11202.0,25568.0,2.28244956258,14355.0,1.28,11202.0,25568.0,2.28244956258,14366.0,1.28,12,pass
Aciri1_meta,Aciri1_meta,Acidomyces richmondensis BFW,Aciri1_meta_AssemblyScaffolds.fasta.gz,Aciri1_meta_GeneCatalog_genes_20111216.gff.gz,Aciri1_meta.filtered_proteins.FilteredModels1.gff3.gz,49.7,10352.0,23763.0,2.2954984544,13408.0,1.3,10352.0,23763.0,2.2954984544,13411.0,1.3,12,pass
Acral2,Acral2,Acremonium alcalophilum v2.0,Acral2_AssemblyScaffolds.fasta.gz,Acral2_GeneCatalog_genes_20110414.gff.gz,Acral2.filtered_proteins.FilteredModels3_1.gff3.gz,46.4,5405.0,20231.0,3.74301572618,14826.0,2.74,9521.0,35580.0,3.73700241571,26059.0,2.74,3,pass
Acrst1,Acrst1,Acremonium strictum DS1bioAY4a v1.0,Acrst1_AssemblyScaffolds.fasta.gz,Acrst1_GeneCatalog_genes_20141022.gff.gz,,52.7,,,,,,13158.0,37246.0,2.83067335461,24088.0,1.83,0,pass
Agabi_varbisH97_2,Agabi_varbisH97_2,Agaricus bisporus var bisporus (H97) v2.0,Abisporus_varbisporusH97.v2_AssembledScaffolds.fasta.gz,,Agabi_varbisH97_2.filtered_proteins.FilteredModels3.gff3.gz,46.5,10438.0,63113.0,6.04646484001,52674.0,5.05,,,,,,7,pass
Agabi_varbur_1,Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,Abisporus_varburnettii.v2.unmasked.fasta.gz,,Agabi_varbur_1.filtered_proteins.FilteredModels1.gff3.gz,46.6,11289.0,64626.0,5.72468774914,53332.0,4.72,,,,,,7,pass
Agahy1,Agahy1,Agaricostilbum hyphaenes ATCC MYA-4628 v1.0,Agahy1_MitoScaffolds.fasta.gz,Agahy1_GeneCatalog_genes_20140307.gff.gz,Agahy1.filtered_proteins.FilteredModels1.gff3.gz,42.0,5213.0,34203.0,6.56109725686,28990.0,5.56,7746.0,49852.0,6.43583785179,42106.0,5.44,0,fail
Altal1,Altal1,Alternaria alternata SRC1lrK2f v1.0,Altal1_AssemblyScaffolds.fasta.gz,Altal1_GeneCatalog_genes_20141010.gff.gz,,51.4,,,,,,13469.0,35099.0,2.6059098671,21630.0,1.61,2,pass
Altbr1,Altbr1,Alternaria brassicicola,Alternaria_brassicicola_unmasked_assembly.fasta.gz,,Altbr1.filtered_proteins.External_gene_models.gff3.gz,50.5,10688.0,28593.0,2.67524326347,17905.0,1.68,,,,,,28,pass
Amamu1,Amamu1,Amanita muscaria Koide v1.0,Amamu1_AssemblyScaffolds.fasta.gz,Amamu1_GeneCatalog_genes_20120806.gff.gz,Amamu1.filtered_proteins.FilteredModels1.gff3.gz,47.5,18153.0,82381.0,4.53814796452,64190.0,3.54,18153.0,82381.0,4.53814796452,64228.0,3.54,4,pass
Amath1,Amath1,Amanita thiersii Skay4041 v1.0,Amath1_AssemblyScaffolds.fasta.gz,Amath1_GeneCatalog_genes_20120702.gff.gz,Amath1.filtered_proteins.FilteredModels1.gff3.gz,45.3,10354.0,62374.0,6.02414525787,52020.0,5.02,10354.0,62374.0,6.02414525787,52020.0,5.02,1,fail
Amnli1,Amnli1,Amniculicola lignicola CBS 123094 v1.0,Amnli1_AssemblyScaffolds.fasta.gz,Amnli1_GeneCatalog_genes_20140304.gff.gz,Amnli1.filtered_proteins.FilteredModels1.gff3.gz,47.8,9883.0,26517.0,2.68309217849,16634.0,1.68,15590.0,41596.0,2.66812059012,26006.0,1.67,1,pass
Amore1,Amore1,Amorphotheca resinae v1.0,Amore1_AssemblyScaffolds.fasta.gz,Amore1_GeneCatalog_genes_20110719.gff.gz,Amore1.filtered_proteins.FilteredModels1.gff3.gz,47.6,9642.0,28616.0,2.96784899398,18974.0,1.97,9642.0,28616.0,2.96784899398,18974.0,1.97,1,pass
Antav1,Antav1,Anthostoma avocetta NRRL 3190 v1.0,Antav1_AssemblyScaffolds.fasta.gz,Antav1_GeneCatalog_genes_20130828.gff.gz,Antav1.filtered_proteins.FilteredModels1.gff3.gz,44.4,1488.0,4531.0,3.04502688172,3043.0,2.05,15755.0,46238.0,2.93481434465,30483.0,1.93,1,pass
Antlo1,Antlo1,Antonospora locustae HM-2013,Antlo1_AssemblyScaffolds.fasta.gz,Antlo1_GeneCatalog_genes_20130909.gff.gz,Antlo1.filtered_proteins.ExternalModels.gff3.gz,47.4,2606.0,2606.0,1.0,,,2606.0,2606.0,1.0,0.0,0.0,0,pass
Antsi1,Antsi1,Antrodia sinuosa v1.0,Antsi1_AssemblyScaffolds.fasta.gz,Antsi1_GeneCatalog_genes_20130416.gff.gz,Antsi1.filtered_proteins.FilteredModels1.gff3.gz,51.1,11327.0,68984.0,6.0902268915,57657.0,5.09,11327.0,68984.0,6.0902268915,57657.0,5.09,0,pass
Apimo1,Apimo1,Apiospora montagnei NRRL 25634 v1.0,Apimo1_AssemblyScaffolds.fasta.gz,Apimo1_GeneCatalog_genes_20120813.gff.gz,Apimo1.filtered_proteins.FilteredModels1.gff3.gz,52.0,16992.0,42806.0,2.51918549906,25806.0,1.52,16992.0,42806.0,2.51918549906,25814.0,1.52,1,pass
Aplpr1,Aplpr1,Aplosporella prunicola CBS 121.167 v1.0,Aplpr1_AssemblyScaffolds.fasta.gz,Aplpr1_GeneCatalog_genes_20121211.gff.gz,Aplpr1.filtered_proteins.FilteredModels1.gff3.gz,54.3,12579.0,33532.0,2.66571269576,20953.0,1.67,12579.0,33532.0,2.66571269576,20953.0,1.67,0,pass
Armga1,Armga1,Armillaria gallica 21-2 v1.0,Armga1_AssemblyScaffolds.fasta.gz,Armga1_GeneCatalog_genes_20141028.gff.gz,,47.4,,,,,,25704.0,138679.0,5.39523031435,112975.0,4.4,0,pass
Armme1_1,Armme1_1,Armillaria mellea,Armme1_1_AssemblyScaffolds.fasta.gz,Armme1_1_GeneCatalog_genes_20140802.gff.gz,,47.3,,,,,,14473.0,87115.0,6.01913908658,72642.0,5.02,0,pass
Artbe1,Artbe1,Arthroderma benhamiae CBS 112371,Artbe1_AssemblyScaffolds.fasta.gz,Artbe1_GeneCatalog_genes_20131209.gff.gz,Artbe1.filtered_proteins.ExternalModels.gff3.gz,48.7,7980.0,20652.0,2.58796992481,12672.0,1.59,7980.0,20652.0,2.58796992481,12672.0,1.59,4,pass
Artel1,Artel1,Artolenzites elegans CIRM1663 v1.0,Artel1_AssemblyScaffolds.fasta.gz,Artel1_GeneCatalog_genes_20140630.gff.gz,Artel1.filtered_proteins.FilteredModels1.gff3.gz,58.8,12851.0,73544.0,5.7228231266,60693.0,4.72,12851.0,73544.0,5.7228231266,60693.0,4.72,15,pass
Artol1,Artol1,Arthrobotrys oligospora ATCC 24927,Artol1_AssemblyScaffolds.fasta.gz,Artol1_GeneCatalog_genes_20131209.gff.gz,Artol1.filtered_proteins.ExternalModels.gff3.gz,44.5,11479.0,36375.0,3.16883003746,24896.0,2.17,11479.0,36375.0,3.16883003746,24896.0,2.17,5,pass
Arxad1,Arxad1,Blastobotrys (Arxula) adeninivorans,Arxad1_AssemblyScaffolds.fasta.gz,Arxad1_GeneCatalog_genes_20141211.gff.gz,,48.1,,,,,,6119.0,7037.0,1.15002451381,918.0,0.15,0,pass
Ascim1,Ascim1,Ascobolus immersus RN42 v1.0,Ascim1_AssemblyScaffolds.fasta.gz,Ascim1_GeneCatalog_genes_20121221.gff.gz,Ascim1.filtered_proteins.FilteredModels2.gff3.gz,49.3,17877.0,47727.0,2.66974324551,29850.0,1.67,17877.0,47727.0,2.66974324551,29850.0,1.67,0,pass
Ascni1,Ascni1,Ascodesmis nigricans CBS 389.68 v1.0,Ascni1_AssemblyScaffolds.fasta.gz,Ascni1_GeneCatalog_genes_20141120.gff.gz,,51.6,,,,,,9622.0,29557.0,3.07181459156,19935.0,2.07,0,pass
Ascru1,Ascru1,Ascoidea rubescens NRRL Y17699 v1.0,Ascru1_AssemblyScaffolds.fasta.gz,Ascru1_GeneCatalog_genes_20111107.gff.gz,Ascru1.filtered_proteins.FilteredModels1.gff3.gz,32.9,6802.0,9433.0,1.38679800059,2605.0,0.38,6802.0,9433.0,1.38679800059,2631.0,0.39,0,pass
Ascsa1,Ascsa1,Ascocoryne sarcoides NRRL50072,Ascsa1_AssemblyScaffolds.fasta.gz,Ascsa1_GeneCatalog_genes_20140116.gff.gz,Ascsa1.filtered_proteins.ExternalModels.gff3.gz,46.4,10672.0,32297.0,3.02633058471,21625.0,2.03,10672.0,32297.0,3.02633058471,21625.0,2.03,0,pass
Ashgo1,Ashgo1,Ashbya gossypii ATCC 10895,Ashgo1_AssemblyScaffolds.fasta.gz,Ashgo1_GeneCatalog_genes_20130601.gff.gz,Ashgo1.filtered_proteins.AGDModels.gff3.gz,51.8,4768.0,5045.0,1.05809563758,276.0,0.06,4768.0,5045.0,1.05809563758,277.0,0.06,0,pass
Ashgo1_1,Ashgo1_1,Eremothecium gossypii ATCC 10895,Ashgo1_1_AssemblyScaffolds.fasta.gz,Ashgo1_1_GeneCatalog_genes_20140830.gff.gz,,51.8,,,,,,4768.0,5045.0,1.05809563758,277.0,0.06,0,pass
Aspac1,Aspac1,Aspergillus aculeatus ATCC16872 v1.1,Aspac1_scaffolds.fasta.gz,,Aspac1.filtered_proteins.FilteredModels6.gff3.gz,50.9,10845.0,35047.0,3.2316274781,24194.0,2.23,,,,,,0,pass
Aspbr1,Aspbr1,Aspergillus brasiliensis v1.0,Aspbr1_AssemblyScaffolds.fasta.gz,Aspbr1_GeneCatalog_genes_20120615.gff.gz,Aspbr1.filtered_proteins.FilteredModels1.gff3.gz,50.5,5496.0,17620.0,3.20596797671,12116.0,2.2,13000.0,41036.0,3.15661538462,28036.0,2.16,0,pass
Aspca3,Aspca3,Aspergillus carbonarius ITEM 5010 v3,Aspca3_scaffolds.fasta.gz,,Aspca3.filtered_proteins.FilteredModels6.gff3.gz,51.7,11624.0,40277.0,3.46498623538,28653.0,2.46,,,,,,2,pass
Aspcam1,Aspcam1,Aspergillus campestris IBT 28561 v1.0,Aspcam1_AssemblyScaffolds.fasta.gz,Aspcam1_GeneCatalog_genes_20140128.gff.gz,Aspcam1.filtered_proteins.FilteredModels1.gff3.gz,51.2,5712.0,18519.0,3.24212184874,12807.0,2.24,9764.0,31433.0,3.21927488734,21669.0,2.22,1,pass
Aspcl1,Aspcl1,Aspergillus clavatus NRRL 1 from AspGD,Aspcl1_AssemblyScaffolds.fasta.gz,Aspcl1_GeneCatalog_genes_20120815.gff.gz,Aspcl1.filtered_proteins.ExternalModels.gff3.gz,49.2,9121.0,27959.0,3.06534371231,18838.0,2.07,9121.0,27959.0,3.06534371231,18838.0,2.07,0,pass
Aspfl1,Aspfl1,Aspergillus flavus NRRL3357,Aspfl1_AssemblyScaffolds.fasta.gz,Aspfl1_GeneCatalog_genes_20121018.gff.gz,Aspfl1.filtered_proteins.ExternalModels.gff3.gz,48.3,2121.0,6927.0,3.26591230552,4806.0,2.27,12604.0,41318.0,3.27816566169,28714.0,2.28,56,pass
Aspfo1,Aspfo1,Aspergillus acidus v1.0,Aspfo1_AssemblyScaffolds.fasta.gz,Aspfo1_GeneCatalog_genes_20120615.gff.gz,Aspfo1.filtered_proteins.FilteredModels1.gff3.gz,49.1,2884.0,9179.0,3.18273231623,6292.0,2.18,13530.0,41966.0,3.10169992609,28436.0,2.1,0,pass
Aspfu1,Aspfu1,Aspergillus fumigatus Af293 from AspGD,Aspfu1_AssemblyScaffolds.fasta.gz,Aspfu1_GeneCatalog_genes_20120808.gff.gz,Aspfu1.filtered_proteins.ExternalModels.gff3.gz,49.8,9781.0,28608.0,2.92485430938,18827.0,1.92,9781.0,28608.0,2.92485430938,18827.0,1.92,84,pass
Aspfu_A1163_1,Aspfu_A1163_1,Aspergillus fumigatus A1163,Aspfu_A1163_1_AssemblyScaffolds.fasta.gz,Aspfu_A1163_1_GeneCatalog_genes_20140107.gff.gz,Aspfu_A1163_1.filtered_proteins.External_Models.gff3.gz,49.5,9916.0,29054.0,2.93001210165,19138.0,1.93,9916.0,29054.0,2.93001210165,19138.0,1.93,84,pass
Aspgl1,Aspgl1,Aspergillus glaucus v1.0,Aspgl1_AssemblyScaffolds.fasta.gz,Aspgl1_GeneCatalog_genes_20121005.gff.gz,Aspgl1.filtered_proteins.FilteredModels1.gff3.gz,49.4,1313.0,3915.0,2.98172124905,2601.0,1.98,11277.0,34242.0,3.03644586326,22965.0,2.04,1,fail
Aspka1_1,Aspka1_1,Aspergillus kawachii IFO 4308,Aspka1_1_AssemblyScaffolds.fasta.gz,Aspka1_1_GeneCatalog_genes_20140116.gff.gz,Aspka1_1.filtered_proteins.ExternalModels.gff3.gz,49.4,11475.0,35684.0,3.1097167756,24209.0,2.11,11475.0,35684.0,3.1097167756,24209.0,2.11,0,pass
Aspni7,Aspni7,Aspergillus niger ATCC 1015 v4.0,Aspni7_AssemblyScaffolds.fasta.gz,Aspni7_GeneCatalog_genes_20131226.gff.gz,Aspni7.filtered_proteins.FilteredModels1.gff3.gz,50.3,3110.0,10384.0,3.33890675241,7274.0,2.34,11910.0,40263.0,3.38060453401,28353.0,2.38,227,pass
Aspni_DSM_1,Aspni_DSM_1,Aspergillus niger CBS 513.88,Aspni_DSM_1_AssemblyScaffolds.fasta.gz,Aspni_DSM_1_GeneCatalog_genes_20130526.gff.gz,Aspni_DSM_1.filtered_proteins.ExternalModels.gff3.gz,50.4,14097.0,50390.0,3.57451940129,36293.0,2.57,14097.0,50390.0,3.57451940129,36293.0,2.57,227,pass
Aspni_NRRL3_1,Aspni_NRRL3_1,Aspergillus niger NRRL3,Aspni_NRRL3_1_AssemblyScaffolds.fasta.gz,Aspni_NRRL3_1_GeneCatalog_genes_20140311.gff.gz,Aspni_NRRL3_1.filtered_proteins.ExternalModels.gff3.gz,49.9,11846.0,38283.0,3.23172378862,26437.0,2.23,11846.0,38283.0,3.23172378862,26437.0,2.23,227,pass
Aspni_bvT_1,Aspni_bvT_1,Aspergillus niger van Tieghem ATCC 13496 v1.0,Aspni_bvT_1_AssemblyScaffolds.fasta.gz,Aspni_bvT_1_GeneCatalog_genes_20140302.gff.gz,Aspni_bvT_1.filtered_proteins.FilteredModels1.gff3.gz,49.5,3013.0,10285.0,3.41354132094,7272.0,2.41,12197.0,41928.0,3.43756661474,29731.0,2.44,227,pass
Aspnid1,Aspnid1,Aspergillus nidulans from AspGD,Aspnid1_AssemblyScaffolds.fasta.gz,Aspnid1_GeneCatalog_genes_20110130.gff.gz,Aspnid1.filtered_proteins.AspGD_genes.gff3.gz,50.4,10680.0,34743.0,3.25308988764,24063.0,2.25,10680.0,34743.0,3.25308988764,24063.0,2.25,49,pass
Aspnov1,Aspnov1,Aspergillus novofumigatus IBT 16806 v1.0,Aspnov1_AssemblyScaffolds.fasta.gz,Aspnov1_GeneCatalog_genes_20140201.gff.gz,Aspnov1.filtered_proteins.FilteredModels1.gff3.gz,49.1,7031.0,23819.0,3.38771156308,16788.0,2.39,11549.0,38633.0,3.3451381072,27084.0,2.35,1,pass
