longName,fastaName,gffName,gff3Name,gc,numGeneGff3,numExonGff3,exonDensityGff3,numIntronGff3,intronDensityGff3,numGeneGff,numExonGff,exonDensityGff,numIntronGff,intronDensityGff,rnaSeqCount,ES
Aaosphaeria arxii CBS 175.79 v1.0,Aaoar1_AssemblyScaffolds.fasta.gz,Aaoar1_GeneCatalog_genes_20140429.gff.gz,Aaoar1.filtered_proteins.FilteredModels1.gff3.gz,49.9,14203.0,39261.0,2.76427515314,25058.0,1.76,14203.0,39261.0,2.76427515314,25058.0,1.76,1,pass
Acaromyces ingoldii MCA 4198 v1.0,Acain1_AssemblyScaffolds.fasta.gz,Acain1_GeneCatalog_genes_20150309.gff.gz,,57.4,,,,,,8025.0,24322.0,3.0307788162,16297.0,2.03,0,pass
Acephala macrosclerotiorum EW76-UTF0540 v1.0,Acema1_AssemblyScaffolds.fasta.gz,Acema1_GeneCatalog_genes_20150224.gff.gz,,38.2,,,,,,21024.0,63616.0,3.02587519026,42592.0,2.03,0,pass
Acidomyces richmondensis BFW,Aciri1_iso_AssemblyScaffolds.fasta.gz,Aciri1_iso_GeneCatalog_genes_20111207.gff.gz,Aciri1_iso.filtered_proteins.FilteredModels1.gff3.gz,49.3,11202.0,25568.0,2.28244956258,14355.0,1.28,11202.0,25568.0,2.28244956258,14366.0,1.28,12,pass
Acidomyces richmondensis BFW,Aciri1_meta_AssemblyScaffolds.fasta.gz,Aciri1_meta_GeneCatalog_genes_20111216.gff.gz,Aciri1_meta.filtered_proteins.FilteredModels1.gff3.gz,49.7,10352.0,23763.0,2.2954984544,13408.0,1.3,10352.0,23763.0,2.2954984544,13411.0,1.3,12,pass
Acremonium alcalophilum v2.0,Acral2_AssemblyScaffolds.fasta.gz,Acral2_GeneCatalog_genes_20110414.gff.gz,Acral2.filtered_proteins.FilteredModels3_1.gff3.gz,46.4,5405.0,20231.0,3.74301572618,14826.0,2.74,9521.0,35580.0,3.73700241571,26059.0,2.74,3,pass
Acremonium strictum DS1bioAY4a v1.0,Acrst1_AssemblyScaffolds.fasta.gz,Acrst1_GeneCatalog_genes_20141022.gff.gz,,52.7,,,,,,13158.0,37246.0,2.83067335461,24088.0,1.83,0,pass
Agaricus bisporus var bisporus (H97) v2.0,Abisporus_varbisporusH97.v2_AssembledScaffolds.fasta.gz,,Agabi_varbisH97_2.filtered_proteins.FilteredModels3.gff3.gz,46.5,10438.0,63113.0,6.04646484001,52674.0,5.05,,,,,,7,pass
Agaricus bisporus var. burnettii JB137-S8,Abisporus_varburnettii.v2.unmasked.fasta.gz,,Agabi_varbur_1.filtered_proteins.FilteredModels1.gff3.gz,46.6,11289.0,64626.0,5.72468774914,53332.0,4.72,,,,,,7,pass
Agaricostilbum hyphaenes ATCC MYA-4628 v1.0,Agahy1_MitoScaffolds.fasta.gz,Agahy1_GeneCatalog_genes_20140307.gff.gz,Agahy1.filtered_proteins.FilteredModels1.gff3.gz,42.0,5213.0,34203.0,6.56109725686,28990.0,5.56,7746.0,49852.0,6.43583785179,42106.0,5.44,0,fail
